"Work Item Type","Title","Assigned To","Description","Acceptance Criteria","Tags"
"Epic","Programa de entrega TuColmadoRD Desktop y Web","","Trabajo acumulado de frontend desktop gateway autenticacion y calidad automatizada.","Historico de cambios funcionales y tecnicos documentado y probado.","programa;entrega;historico"
"Issue","Reenfoque UX Launcher Desktop a Login","","Cambio de experiencia para que instalacion abra login en lugar de pagina comercial.","Launcher abre ruta de autenticacion y no muestra pagina de marketing.","desktop;ux;login"
"Issue","Branding corporativo en launcher e installer","","Ajustes de logo iconos y wizard de instalacion con identidad del proyecto.","Assets visuales actualizados y consistentes en runtime y setup.","branding;installer;desktop"
"Issue","Updater estable con endpoint propio latest installer","","Integracion de endpoint gateway para descubrir ultima version de instalador.","Desktop consulta endpoint estable y mantiene fallback de descarga.","updater;gateway;release"
"Issue","Correccion SPA assets en rutas profundas","","Fix de base href y deploy url para evitar 404 de chunks en auth login.","Navegacion directa a /auth/login carga JS y CSS sin errores 404.","frontend;angular;routing"
"Issue","Pipeline release test y versionado por tags","","Mejoras de workflow para publicar pruebas por tags v0.2.x-test.","Se generan releases de prueba repetibles en ramas operativas.","ci-cd;github-actions;tags"
"Issue","Automatizacion Selenium Tarea 4","","Suite Selenium con historias de usuario casos felices negativos y limites.","Ejecucion automatica produce resultados exitosos y evidencias.","selenium;qa;tarea4"
"Issue","Evidencias de calidad y documentacion entrega","","Reportes html capturas csv para Azure DevOps y guia de ejecucion.","Artefactos listos para subir y auditar por docente.","evidencias;documentacion;azure"
"Issue","PBI-01 Apertura directa al login local","","Como operador quiero abrir directo autenticacion al instalar para iniciar rapido.","Al iniciar app desktop la primera vista es login funcional.","pbi;desktop;auth"
"Issue","US-DESK-01 Inicio sin pagina comercial","","Como usuario instalado quiero evitar landing comercial y ver login inmediato.","La ventana principal muestra accion de abrir sistema y login operativo.","historia;desktop;ux"
"Task","T-DESK-01 Simplificar MainForm a logo nombre boton","","Refactor de formulario principal a estructura simple y profesional.","MainForm renderiza logo nombre y boton Open System estable.","task;desktop;winforms"
"Task","T-DESK-02 Eliminar ocultamiento y mantener ventana visible","","Ajustar secuencia de arranque para no ocultar formulario durante carga.","Ventana permanece visible mientras servicios inicializan.","task;desktop;startup"
"Task","T-DESK-03 Ajustar Program para arranque paralelo servicios","","Modificar startup para abrir UI y levantar backend en paralelo.","Tiempo de apertura mejora y UX es estable.","task;program;startup"
"Task","T-DESK-04 Trazas de diagnostico con AppLogger","","Agregar logging de etapas para depurar desaparicion de ventana.","Logs disponibles para soporte de arranque.","task;logging;debug"
"Issue","PBI-02 Imagen de marca en instalador","","Como negocio quiero instalador alineado a marca final.","Iconos y wizard personalizados se muestran en setup.","pbi;installer;branding"
"Issue","US-BRAND-01 Reemplazar iconos y wizard assets","","Como usuario quiero ver logo oficial durante instalacion.","App.ico setup.ico wizard.bmp y wizard-small.bmp actualizados.","historia;installer;assets"
"Task","T-BRAND-01 Regenerar app.ico y setup.ico","","Crear iconografia corporativa para app y setup.","Iconos compilables y referenciados en script Inno Setup.","task;icons;inno"
"Task","T-BRAND-02 Regenerar wizard.bmp y wizard-small.bmp","","Crear pantallas de asistente con linea grafica oficial.","Setup muestra fondos correctos en wizard.","task;wizard;inno"
"Task","T-BRAND-03 Verificar referencias en setup.iss","","Validar que el instalador use los nuevos assets.","Compilacion usa assets de branding sin fallback viejo.","task;setup.iss;inno"
"Issue","PBI-03 Descarga estable de instalador test","","Como launcher quiero URL estable del ultimo instalador para actualizar sin fallos.","Endpoint gateway devuelve release test vigente.","pbi;updater;gateway"
"Issue","US-UPD-01 Consumir endpoint latest installer URL","","Como desktop quiero consultar endpoint interno antes de github publico.","Desktop consume endpoint gateway y obtiene metadata release.","historia;updater;desktop"
"Task","T-UPD-01 Crear endpoint latest installer en gateway","","Agregar endpoint dedicado para ultimo instalador test.","Respuesta incluye version url y metadata de archivo.","task;api;gateway"
"Task","T-UPD-02 Priorizar endpoint estable en cliente updater","","Actualizar cliente desktop para usar endpoint interno primero.","Flujo de update no depende solo de api externa.","task;desktop;updater"
"Task","T-UPD-03 Publicar fixes en master QA Develop","","Sincronizar cambios de updater entre ramas operativas.","Ramas principales contienen el mismo comportamiento de update.","task;git;branches"
"Issue","PBI-04 Eliminar error 404 de chunks en auth","","Como usuario quiero abrir auth/login sin pantalla azul por recursos faltantes.","Recursos static se resuelven desde raiz en rutas profundas.","pbi;frontend;bugfix"
"Issue","BUG-FE-404 Chunks no cargan en /auth/login","","Error de carga chunk js css por base href relativo.","Build usa base href y deploy url en raiz y corrige error.","bug;angular;chunks"
"Task","T-FE-01 Cambiar build-desktop.ps1 a base href raiz","","Sustituir bandera --base-href ./ por raiz con deploy url.","Index compilado referencia assets absolutos desde slash.","task;build;powershell"
"Task","T-FE-02 Validar dist-desktop index con base root","","Revisar index generado y rutas de chunks post build.","Index contiene base href slash y rutas validas.","task;validation;dist"
"Task","T-FE-03 Publicar commit fix y nuevo tag test","","Subir fix a master y crear tag incremental de prueba.","Release de prueba generado para validar en instalador.","task;release;tag"
"Issue","PBI-05 Robustecer release-test workflow","","Como equipo quiero workflow moderno y compatible para releases test.","Pipeline ejecuta con versiones actuales y pasos estables.","pbi;workflow;ci"
"Issue","US-CI-01 Actualizar workflow release-test","","Como dev quiero pipeline de release test sin acciones deprecadas.","Workflow usa acciones y node versions vigentes.","historia;ci;github-actions"
"Task","T-CI-01 Ajustar release-test.yml a actions nuevas","","Reemplazar acciones viejas por versiones soportadas.","Pipeline deja de fallar por acciones obsoletas.","task;yaml;actions"
"Task","T-CI-02 Alinear manejo de APP_VERSION y etiquetas","","Ajustar flujo para versionado coherente por tags test.","Version calculada y consumida por jobs de release.","task;versioning;workflow"
"Task","T-CI-03 Ejecutar ciclo de tags v0.2.x-test","","Disparar pruebas de release mediante tags incrementales.","Tags publicados y releases visibles en repositorio.","task;tags;release"
"Issue","PBI-06 Cobertura Selenium para entrega academica","","Como estudiante quiero pruebas demostrables y reproducibles.","Suite Selenium ejecuta historias y genera evidencia formal.","pbi;selenium;academico"
"Issue","US01 Login exitoso redirige al dashboard","","Como colmadero quiero iniciar sesion para entrar al dashboard y trabajar.","Credenciales validas redirigen a portal dashboard y guardan token.","US01;happy;login"
"Task","TC-US01-HAPPY Validar login exitoso y session token","","Escenario camino feliz de autenticacion login.","URL final contiene /portal/dashboard y tc_token existe.","testcase;selenium;login"
"Issue","US02 Login invalido no crea sesion","","Como colmadero quiero manejo de error al ingresar credenciales invalidas.","Permanece en /auth/login y no se crea token de sesion.","US02;negative;login"
"Task","TC-US02-NEG Validar no sesion en error de login","","Escenario negativo de login contra API mock en error.","Token nulo y pagina de login permanecen activos.","testcase;selenium;negative"
"Issue","US03 Login valida limites antes de enviar","","Como colmadero quiero validaciones de formulario para evitar errores.","Boton submit inicia deshabilitado con datos incompletos o invalidos.","US03;boundary;login"
"Task","TC-US03-LIMIT Validar boton deshabilitado con input invalido","","Escenario de limites para formulario login.","No habilita submit hasta completar entradas validas.","testcase;selenium;boundary"
"Issue","US04 Registro exitoso activa cuenta","","Como colmadero quiero crear cuenta y activar acceso al sistema.","Con datos validos y terminos aceptados muestra estado exito.","US04;happy;register"
"Task","TC-US04-HAPPY Registro exitoso con terminos","","Escenario feliz de registro end-to-end.","Muestra register success title y persiste sesion.","testcase;selenium;register"
"Issue","US05 Registro valida limites y muestra error API","","Como colmadero quiero validaciones y feedback cuando falla backend.","Datos invalidos bloquean continuar y error API muestra estado de fallo.","US05;negative;boundary;register"
"Task","TC-US05-LIMIT Registro invalido bloquea continuar","","Escenario de limites para alta de cuenta.","register continue permanece deshabilitado con entradas invalidas.","testcase;selenium;boundary"
"Task","TC-US05-NEG Registro con API error muestra estado error","","Escenario negativo de registro con backend mock error.","Muestra register error state y mensaje visible.","testcase;selenium;negative"
"Task","T-QA-01 Agregar data-testid en login y register","","Agregar selectores robustos para evitar tests fragiles.","Elementos criticos localizables por data-testid.","task;qa;selectors"
"Task","T-QA-02 Implementar mock API embebido para e2e","","Servidor mock node para login register deterministas.","Suite no depende de servicios externos inestables.","task;mock;node"
